name-year,pos,name,weight,height,Age,G,GS,MP,FG%,3P,3P%,3PA,FT,FT%,FTA,ORB,TRB,AST,STL,BLK,TOV,PTS,USG%,TS%,year,Player,Current_Sal,Next_Sal,min_sal_curr,min_sal_next,sal_cap_curr,sal_cap_next,height_ft
Amir_Johnson_2016,F-C,Amir-Johnson,240,6-9,29.0,80.0,77.0,20.1,0.576,0.3,0.409,0.8,0.8,0.67,1.3,1.5,4.6,1.8,0.6,0.8,1.0,6.5,13.6,0.628,2016,Amir Johnson,14.328925145788855,12.478722008618167,875000.0,1313000.0,94143000.0,99093000.0,6.75
JJ_Redick_2016,G,JJ-Redick,200,6-3,32.0,78.0,78.0,28.2,0.445,2.6,0.429,6.0,2.3,0.891,2.6,0.1,2.2,1.4,0.7,0.2,1.3,15.0,22.0,0.599,2016,JJ Redick,8.809303771921439,26.091873290747078,875000.0,1313000.0,94143000.0,99093000.0,6.25
Zaza_Pachulia_2016,C,Zaza-Pachulia,270,6-11,32.0,70.0,70.0,18.1,0.534,0.0,0.0,0.0,1.4,0.778,1.8,2.0,5.9,1.9,0.8,0.5,1.2,6.1,15.3,0.588,2016,Zaza Pachulia,3.460435422708008,3.945091241560958,875000.0,1313000.0,94143000.0,99093000.0,6.916666666666667
Kentavious_Caldwell-Pope_2016,G,Kentavious-Caldwell-Pope,204,6-5,23.0,76.0,75.0,33.3,0.399,2.0,0.35,5.8,2.0,0.832,2.4,0.7,3.3,2.5,1.2,0.2,1.1,13.8,19.2,0.519,2016,Kentavious Caldwell-Pope,4.392196467777742,20.131461638218642,875000.0,1313000.0,94143000.0,99093000.0,6.416666666666667
Andre_Roberson_2016,G-F,Andre-Roberson,210,6-7,25.0,79.0,79.0,30.1,0.464,0.6,0.245,2.3,0.6,0.423,1.4,1.2,5.1,1.0,1.2,1.0,0.6,6.6,10.1,0.51,2016,Andre Roberson,2.6067562729889633,10.503975595047077,875000.0,1313000.0,94143000.0,99093000.0,6.583333333333333
Marreese_Speights_2016,C-F,Marreese-Speights,255,6-10,29.0,82.0,2.0,15.7,0.445,1.3,0.372,3.4,1.5,0.876,1.7,1.1,4.5,0.8,0.3,0.5,0.8,8.7,23.6,0.584,2016,Marreese Speights,1.676019746067153,2.401535722704934,875000.0,1313000.0,94143000.0,99093000.0,6.833333333333333
Ersan_Ilyasova_2016,F,Ersan-Ilyasova,235,6-9,29.0,82.0,52.0,26.1,0.431,1.7,0.353,4.9,2.0,0.778,2.5,1.4,5.9,1.7,0.7,0.3,1.4,13.1,22.2,0.546,2016,Ersan Ilyasova,10.030247602052198,7.389999003279748,875000.0,1313000.0,94143000.0,99093000.0,6.75
Kelly_Olynyk_2016,C-F,Kelly-Olynyk,240,6-11,25.0,75.0,6.0,20.5,0.512,0.9,0.354,2.6,1.2,0.732,1.6,1.0,4.8,2.0,0.6,0.4,1.3,9.0,19.0,0.603,2016,Kelly Olynyk,3.694490056424801,13.621284005590708,875000.0,1313000.0,94143000.0,99093000.0,6.916666666666667
Vince_Carter_2016,G-F,Vince-Carter,220,6-6,40.0,73.0,15.0,24.6,0.394,1.5,0.378,4.1,1.2,0.765,1.6,0.5,3.1,1.8,0.8,0.5,0.7,8.0,14.9,0.542,2016,Vince Carter,5.091612797531415,9.07543418808594,875000.0,1313000.0,94143000.0,99093000.0,6.5
Taj_Gibson_2016,F,Taj-Gibson,232,6-9,31.0,78.0,71.0,25.5,0.515,0.0,0.231,0.2,1.4,0.715,2.0,2.0,6.2,0.9,0.5,0.8,1.3,10.8,19.3,0.543,2016,Taj Gibson,10.68699000456752,15.882009829150393,875000.0,1313000.0,94143000.0,99093000.0,6.75
CJ_Miles_2016,G-F,CJ-Miles,220,6-6,29.0,76.0,29.0,23.4,0.434,2.2,0.413,5.4,1.1,0.903,1.2,0.4,3.0,0.6,0.6,0.3,0.5,10.7,18.4,0.592,2016,CJ Miles,5.472992663288826,9.003408139081468,875000.0,1313000.0,94143000.0,99093000.0,6.5
Nerlens_Noel_2016,C-F,Nerlens-Noel,220,6-11,22.0,51.0,19.0,20.5,0.595,0.0,0.0,0.0,1.5,0.694,2.2,1.8,5.8,1.0,1.3,1.0,1.0,8.7,17.6,0.622,2016,Nerlens Noel,5.235419084371648,4.750534891324311,875000.0,1313000.0,94143000.0,99093000.0,6.916666666666667
Darren_Collison_2016,G,Darren-Collison,175,6-0,29.0,68.0,64.0,30.3,0.476,1.1,0.417,2.6,2.2,0.86,2.5,0.3,2.2,4.6,1.0,0.1,1.7,13.2,19.8,0.57,2016,Darren Collison,6.244371243278842,11.344292735107423,875000.0,1313000.0,94143000.0,99093000.0,6.0
Jrue_Holiday_2016,G,Jrue-Holiday,205,6-3,26.0,67.0,61.0,32.7,0.454,1.5,0.356,4.2,1.8,0.708,2.5,0.7,3.9,7.3,1.5,0.7,2.9,15.4,23.5,0.532,2016,Jrue Holiday,13.134848050306449,29.139706983722363,875000.0,1313000.0,94143000.0,99093000.0,6.25
Nikola_Mirotic_2016,F,Nikola-Mirotic,250,6-10,25.0,70.0,15.0,24.0,0.413,1.8,0.342,5.4,1.4,0.773,1.8,0.9,5.5,1.1,0.8,0.8,1.1,10.6,19.8,0.546,2016,Nikola Mirotic,6.904691100772229,14.18036591888428,875000.0,1313000.0,94143000.0,99093000.0,6.833333333333333
Kyle_Korver_2016,G-F,Kyle-Korver,212,6-7,35.0,67.0,22.0,26.2,0.464,2.4,0.451,5.4,0.6,0.905,0.6,0.1,2.8,1.6,0.5,0.3,1.0,10.1,15.2,0.635,2016,Kyle Korver,6.256291714923043,7.941004914575196,875000.0,1313000.0,94143000.0,99093000.0,6.583333333333333
PJ_Tucker_2016,F,PJ-Tucker,245,6-5,31.0,81.0,21.0,27.6,0.413,0.9,0.357,2.4,0.9,0.774,1.1,1.4,5.8,1.2,1.4,0.2,0.8,6.7,11.2,0.516,2016,PJ Tucker,6.3286086060567435,8.610357890971107,875000.0,1313000.0,94143000.0,99093000.0,6.416666666666667
JaVale_McGee_2016,C,JaVale-McGee,270,7-0,29.0,77.0,10.0,9.6,0.652,0.0,0.0,0.0,0.7,0.505,1.4,1.3,3.2,0.2,0.2,0.9,0.5,6.1,23.8,0.642,2016,JaVale McGee,1.676019746067153,2.401535722704934,875000.0,1313000.0,94143000.0,99093000.0,7.0
Cristiano_Felicio_2016,F-C,Cristiano-Felicio,270,6-11,24.0,66.0,0.0,15.8,0.579,0.0,0.0,0.0,0.9,0.645,1.4,1.9,4.7,0.6,0.4,0.3,0.5,4.8,12.4,0.603,2016,Cristiano Felicio,1.0443828144843483,8.89789600678151,875000.0,1313000.0,94143000.0,99093000.0,6.916666666666667
