Name,Player,Rk,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GS/G,G/MaxG,MP_sq,PTS_sq,Market_Val,Current_Sal
giannisantetokounmpo,Giannis Antetokounmpo,11,PF,27,MIL,26,26,32.7,9.5,18.0,0.529,1.1,3.8,0.28,8.5,14.2,0.596,0.559,6.9,10.1,0.681,2.0,9.5,11.6,5.8,1.1,1.6,3.3,3.0,27.0,1.0,0.8666666666666667,1069.2900000000002,729.0,37.101916341056146,39.34497
thanasisantetokounmpo,Thanasis Antetokounmpo,12,SF,29,MIL,22,5,12.8,1.5,3.0,0.478,0.0,0.3,0.0,1.5,2.8,0.525,0.478,0.6,0.9,0.65,1.0,2.0,3.1,0.8,0.5,0.2,0.6,1.7,3.5,0.22727272727272727,0.7333333333333333,163.84000000000003,12.25,4.300051703070703,1.729217
carmeloanthony,Carmelo Anthony,13,PF,37,LAL,29,3,27.6,4.5,10.4,0.43,2.4,5.8,0.413,2.1,4.7,0.452,0.545,2.0,2.5,0.819,0.8,3.3,4.1,0.9,0.7,0.6,0.8,2.3,13.4,0.10344827586206896,0.9666666666666667,761.7600000000001,179.56,10.55967168160755,2.641691
coleanthony,Cole Anthony,14,PG,21,ORL,23,23,34.1,6.9,16.5,0.417,2.8,7.6,0.366,4.1,8.9,0.461,0.501,3.3,3.8,0.875,0.6,5.5,6.1,5.6,0.8,0.2,3.0,2.5,19.9,1.0,0.7666666666666667,1162.8100000000002,396.00999999999993,24.582060370112533,3.4494
oganunoby,OG Anunoby,15,SF,24,TOR,15,15,37.3,7.6,17.7,0.43,2.7,7.5,0.366,4.9,10.2,0.477,0.508,2.2,2.7,0.825,1.6,3.8,5.4,2.7,1.5,0.6,1.7,2.7,20.1,1.0,0.5,1391.2899999999997,404.01000000000005,25.85386542708053,16.071429
djaugustin,DJ Augustin,16,PG,34,HOU,24,2,14.3,1.5,3.4,0.451,1.1,2.4,0.456,0.5,1.0,0.44,0.61,0.8,0.9,0.909,0.1,1.0,1.1,2.5,0.3,0.0,1.3,0.7,5.0,0.08333333333333333,0.8,204.49,25.0,2.6901357574331137,7.0
deniavdija,Deni Avdija,17,SF,21,WAS,29,2,21.2,2.4,5.7,0.421,0.8,2.6,0.303,1.6,3.0,0.523,0.491,0.8,1.2,0.686,0.8,4.0,4.8,1.2,0.6,0.8,0.6,2.1,6.4,0.06896551724137931,0.9666666666666667,449.44,40.96000000000001,5.4648174633601245,4.69284
joelayayi,Joel Ayayi,18,SG,21,WAS,5,0,2.6,0.0,0.0,0.441,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.766,0.0,0.4,0.4,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,6.760000000000001,0.0,6.564727575914979,
deandreayton,Deandre Ayton,19,C,23,PHO,19,19,31.6,7.6,12.2,0.621,0.1,0.3,0.2,7.5,11.9,0.63,0.623,1.7,2.7,0.635,3.0,8.2,11.2,1.5,0.8,0.7,1.8,2.4,16.9,1.0,0.6333333333333333,998.5600000000001,285.60999999999996,17.56069411310695,12.63295
udokaazubuike,Udoka Azubuike,20,C,22,UTA,4,0,2.0,0.3,0.3,1.0,0.0,0.0,0.0,0.3,0.3,1.0,1.0,0.0,0.0,0.766,0.3,0.8,1.0,0.0,0.0,0.0,0.3,0.0,0.5,0.0,0.13333333333333333,4.0,0.25,5.2043727251298355,2.07588
marvinbagleyiii,Marvin Bagley III,21,PF,22,SAC,13,1,19.6,3.2,6.6,0.477,0.6,2.2,0.286,2.5,4.5,0.569,0.523,1.2,1.8,0.652,2.2,4.5,6.7,0.6,0.2,0.3,0.5,1.2,8.1,0.07692307692307693,0.43333333333333335,384.1600000000001,65.61,3.8792318965143675,11.312114
lameloball,LaMelo Ball,22,PG,20,CHO,24,24,33.3,7.3,17.3,0.418,2.9,7.5,0.391,4.3,9.9,0.439,0.502,2.6,2.9,0.9,1.5,6.2,7.7,8.3,1.9,0.4,3.3,3.1,20.0,1.0,0.8,1108.8899999999999,400.0,28.190136676481103,8.23176
lonzoball,Lonzo Ball,23,PG,24,CHI,27,27,35.5,4.6,11.2,0.413,3.1,7.3,0.421,1.6,3.9,0.396,0.55,0.4,0.6,0.706,1.0,4.5,5.5,4.9,1.7,1.0,2.5,2.3,12.8,1.0,0.9,1260.25,163.84000000000003,18.260548858686292,18.604651
mobamba,Mo Bamba,24,C,23,ORL,27,27,28.7,4.2,9.1,0.457,1.3,4.0,0.324,2.9,5.1,0.561,0.528,0.7,0.9,0.72,2.3,6.3,8.6,1.7,0.7,2.2,1.4,2.6,10.3,1.0,0.9,823.6899999999999,106.09000000000002,11.213220079678594,7.568742
desmondbane,Desmond Bane,25,SF,23,MEM,29,29,28.9,6.2,13.3,0.465,2.7,6.5,0.407,3.5,6.8,0.52,0.565,1.2,1.3,0.923,0.5,3.9,4.4,2.3,0.9,0.4,1.4,2.5,16.2,1.0,0.9666666666666667,835.2099999999999,262.44,17.07007506136325,2.03316
dalanobanton,Dalano Banton,26,SF,22,TOR,27,0,12.7,1.6,3.6,0.458,0.2,0.7,0.3,1.4,2.8,0.5,0.49,0.7,0.9,0.75,0.7,1.7,2.3,1.8,0.4,0.2,1.0,1.4,4.1,0.0,0.9,161.29,16.81,3.4800511017244586,0.925258
harrisonbarnes,Harrison Barnes,27,PF,29,SAC,24,24,33.3,5.3,11.6,0.459,1.8,4.7,0.381,3.5,6.9,0.512,0.536,5.0,5.9,0.845,1.3,5.3,6.6,2.4,0.9,0.1,1.9,1.3,17.5,1.0,0.8,1108.8899999999999,306.25,17.843572990785507,20.284091
scottiebarnes,Scottie Barnes,28,PF,20,TOR,26,26,36.2,6.2,12.8,0.488,0.8,2.2,0.368,5.4,10.6,0.513,0.52,2.2,3.0,0.727,3.0,5.3,8.3,3.3,1.1,1.0,1.9,2.8,15.4,1.0,0.8666666666666667,1310.4400000000003,237.16000000000003,20.156742745890735,7.28052
rjbarrett,RJ Barrett,29,SF,21,NYK,25,25,31.4,5.4,13.3,0.402,1.9,5.3,0.353,3.5,8.0,0.435,0.473,2.5,3.4,0.733,0.8,4.8,5.6,2.1,0.4,0.3,1.7,2.0,15.1,1.0,0.8333333333333334,985.9599999999999,228.01,14.965300148972624,8.62392
willbarton,Will Barton,30,SG,31,DEN,24,24,33.3,6.2,14.0,0.443,2.5,6.5,0.382,3.7,7.5,0.497,0.533,1.1,1.5,0.743,0.6,4.4,5.0,4.2,0.9,0.4,1.8,1.4,16.0,1.0,0.8,1108.8899999999999,256.0,20.408976767921995,15.384615
