Player,Name,Salary
kyleanderson,Kyle Anderson,"$9,937,150"
derrickfavors,Derrick Favors,"$9,720,900"
jaecrowder,Jae Crowder,"$9,720,900"
derrickjones,Derrick Jones,"$9,720,900"
sergeibaka,Serge Ibaka,"$9,720,900"
tristanthompson,Tristan Thompson,"$9,720,900"
montrezlharrell,Montrezl Harrell,"$9,720,900"
jamorant,Ja Morant,"$9,603,360"
reggiebullock,Reggie Bullock,"$9,536,000"
alecburks,Alec Burks,"$9,536,000"
talenhortontucker,Talen Horton-Tucker,"$9,500,000"
masonplumlee,Mason Plumlee,"$9,248,333"
jarenjacksonjr,Jaren Jackson Jr,"$9,180,560"
jameswiseman,James Wiseman,"$9,166,800"
jalengreen,Jalen Green,"$8,992,080"
maxikleber,Maxi Kleber,"$8,825,000"
deanthonymelton,De'Anthony Melton,"$8,805,976"
nerlensnoel,Nerlens Noel,"$8,800,000"
royceoneale,Royce O'Neale,"$8,800,000"
jakobpoeltl,Jakob Poeltl,"$8,750,000"
thomasbryant,Thomas Bryant,"$8,666,667"
rjbarrett,RJ Barrett,"$8,623,920"
alexcaruso,Alex Caruso,"$8,600,000"
delonwright,Delon Wright,"$8,526,316"
dariosaric,Dario Saric,"$8,510,000"
montemorris,Monte Morris,"$8,449,074"
tyusjones,Tyus Jones,"$8,376,286"
traeyoung,Trae Young,"$8,326,471"
danieltheis,Daniel Theis,"$8,280,351"
lameloball,LaMelo Ball,"$8,231,760"
sethcurry,Seth Curry,"$8,207,518"
jamychalgreen,JaMychal Green,"$8,200,000"
cediosman,Cedi Osman,"$8,133,334"
evanmobley,Evan Mobley,"$8,075,160"
deandrehunter,De'Andre Hunter,"$7,775,400"
mobamba,Mo Bamba,"$7,568,743"
ivicazubac,Ivica Zubac,"$7,518,518"
tjmcconnell,TJ McConnell,"$7,500,000"
rajonrondo,Rajon Rondo,"$7,500,000"
patrickwilliams,Patrick Williams,"$7,422,000"
coryjoseph,Cory Joseph,"$7,310,000"
scottiebarnes,Scottie Barnes,"$7,280,400"
dariusgarland,Darius Garland,"$7,040,880"
chrisboucher,Chris Boucher,"$7,020,000"
pjtucker,PJ Tucker,"$7,000,000"
zachcollins,Zach Collins,"$7,000,000"
djaugustin,DJ Augustin,"$7,000,000"
wendellcarter,Wendell Carter,"$6,920,027"
juanhernangomez,Juan Hernangomez,"$6,907,815"
isaacokoro,Isaac Okoro,"$6,720,720"
jalensuggs,Jalen Suggs,"$6,592,920"
cameronpayne,Cameron Payne,"$6,500,000"
joakimnoah,Joakim Noah,"$6,431,666"
jarrettculver,Jarrett Culver,"$6,395,160"
khembirch,Khem Birch,"$6,350,000"
collinsexton,Collin Sexton,"$6,349,671"
onyekaokongwu,Onyeka Okongwu,"$6,104,280"
justinholiday,Justin Holiday,"$6,006,420"
joshgiddey,Josh Giddey,"$5,988,000"
patrickmills,Patrick Mills,"$5,890,000"
rudygay,Rudy Gay,"$5,890,000"
dennisschroeder,Dennis Schroeder,"$5,890,000"
kevinknox,Kevin Knox,"$5,845,978"
cobywhite,Coby White,"$5,837,760"
timofeymozgov,Timofey Mozgov,"$5,573,333"
killianhayes,Killian Hayes,"$5,572,680"
mikalbridges,Mikal Bridges,"$5,557,725"
shaigilgeousalexander,Shai Gilgeous-Alexander,"$5,495,532"
jonathankuminga,Jonathan Kuminga,"$5,466,360"
milesbridges,Miles Bridges,"$5,421,493"
jaxsonhayes,Jaxson Hayes,"$5,348,280"
patconnaughton,Pat Connaughton,"$5,333,334"
georgehill,George Hill,"$5,275,491"
michaelporter,Michael Porter,"$5,258,735"
dewaynededmon,Dewayne Dedmon,"$5,256,308"
ryananderson,Ryan Anderson,"$5,214,583"
hamidoudiallo,Hamidou Diallo,"$5,200,000"
kevonlooney,Kevon Looney,"$5,178,572"
troybrown,Troy Brown,"$5,170,564"
obitoppin,Obi Toppin,"$5,105,160"
franzwagner,Franz Wagner,"$5,007,840"
joshjackson,Josh Jackson,"$5,005,350"
krisdunn,Kris Dunn,"$5,005,350"
kendricknunn,Kendrick Nunn,"$5,000,000"
louiswilliams,Louis Williams,"$5,000,000"
luoldeng,Luol Deng,"$5,000,000"
robinlopez,Robin Lopez,"$5,000,000"
javalemcgee,JaVale McGee,"$5,000,000"
ruihachimura,Rui Hachimura,"$4,916,160"
garretttemple,Garrett Temple,"$4,910,000"
tajgibson,Taj Gibson,"$4,910,000"
torreycraig,Torrey Craig,"$4,878,049"
brucebrown,Bruce Brown,"$4,736,102"
deniavdija,Deni Avdija,"$4,692,840"
dontedivincenzo,Donte DiVincenzo,"$4,675,830"
camreddish,Cam Reddish,"$4,670,160"
davidnwaba,David Nwaba,"$4,650,000"
furkankorkmaz,Furkan Korkmaz,"$4,629,630"
davionmitchell,Davion Mitchell,"$4,603,200"
ishmaelsmith,Ishmael Smith,"$4,500,000"
jeffgreen,Jeff Green,"$4,500,000"
brynforbes,Bryn Forbes,"$4,500,000"
chandlerhutchison,Chandler Hutchison,"$4,482,088"
jalensmith,Jalen Smith,"$4,458,000"
lonniewalker,Lonnie Walker,"$4,453,617"
cameronjohnson,Cameron Johnson,"$4,437,000"
ziairewilliams,Ziaire Williams,"$4,373,040"
bobbyportis,Bobby Portis,"$4,347,600"
moeharkless,Moe Harkless,"$4,347,600"
kevinhuerter,Kevin Huerter,"$4,253,357"
devinvassell,Devin Vassell,"$4,235,160"
pjwashington,PJ Washington,"$4,215,120"
jamesbouknight,James Bouknight,"$4,154,400"
williecauleystein,Willie Cauley-Stein,"$4,100,000"
joshokogie,Josh Okogie,"$4,087,904"
graysonallen,Grayson Allen,"$4,054,695"
jarredvanderbilt,Jarred Vanderbilt,"$4,050,000"
tyresehaliburton,Tyrese Haliburton,"$4,023,600"
tylerherro,Tyler Herro,"$4,004,280"
terencedavis,Terence Davis,"$4,000,000"
gorguidieng,Gorgui Dieng,"$4,000,000"
dorianfinneysmith,Dorian Finney-Smith,"$4,000,000"
aaronholiday,Aaron Holiday,"$3,980,551"
joshprimo,Josh Primo,"$3,946,800"
jakelayman,Jake Layman,"$3,940,184"
anferneesimons,Anfernee Simons,"$3,938,818"
justisewinslow,Justise Winslow,"$3,902,439"
danuelhouse,Danuel House,"$3,894,000"
kiralewis,Kira Lewis,"$3,822,240"
romeolangford,Romeo Langford,"$3,804,360"
landryshamet,Landry Shamet,"$3,768,342"
chrisduarte,Chris Duarte,"$3,749,400"
alexlen,Alex Len,"$3,732,000"
gabrieldeck,Gabriel Deck,"$3,676,852"
sekoudoumbouya,Sekou Doumbouya,"$3,671,509"
robertwilliams,Robert Williams,"$3,661,976"
jevoncarter,Jevon Carter,"$3,650,000"
aaronnesmith,Aaron Nesmith,"$3,631,200"
mosesmoody,Moses Moody,"$3,562,200"
bobanmarjanovic,Boban Marjanovic,"$3,500,000"
mikemuscala,Mike Muscala,"$3,500,000"
coleanthony,Cole Anthony,"$3,449,400"
lukasamanic,Luka Samanic,"$3,421,709"
coreykispert,Corey Kispert,"$3,383,640"
georgesniang,Georges Niang,"$3,300,000"
michaelcarterwilliams,Michael Carter-Williams,"$3,300,000"
isaiahstewart,Isaiah Stewart,"$3,277,080"
chumaokeke,Chuma Okeke,"$3,277,080"
nickeilalexanderwalker,Nickeil Alexander-Walker,"$3,261,480"
alperensengun,Alperen Sengun,"$3,214,680"
facundocampazzo,Facundo Campazzo,"$3,200,000"
jonleuer,Jon Leuer,"$3,169,348"
treyburke,Trey Burke,"$3,150,000"
aleksejpokusevski,Aleksej Pokusevski,"$3,113,160"
gogabitadze,Goga Bitadze,"$3,098,400"
treymurphy,Trey Murphy,"$3,053,760"
sterlingbrown,Sterling Brown,"$3,000,000"
frankjackson,Frank Jackson,"$3,000,000"
joshgreen,Josh Green,"$2,957,520"
tremann,Tre Mann,"$2,901,240"
andrewnicholson,Andrew Nicholson,"$2,844,429"
matissethybulle,Matisse Thybulle,"$2,840,160"
saddiqbey,Saddiq Bey,"$2,824,320"
kaijones,Kai Jones,"$2,770,560"
brandonclarke,Brandon Clarke,"$2,726,880"
preciousachiuwa,Precious Achiuwa,"$2,711,280"
marcgasol,Marc Gasol,"$2,692,991"
jalenjohnson,Jalen Johnson,"$2,659,680"
eneskanter,Enes Kanter,"$2,641,691"
lamarcusaldridge,LaMarcus Aldridge,"$2,641,691"
jamesjohnson,James Johnson,"$2,641,691"
paulmillsap,Paul Millsap,"$2,641,691"
eddavis,Ed Davis,"$2,641,691"
andreiguodala,Andre Iguodala,"$2,641,691"
carmeloanthony,Carmelo Anthony,"$2,641,691"
trevorariza,Trevor Ariza,"$2,641,691"
averybradley,Avery Bradley,"$2,641,691"
wayneellington,Wayne Ellington,"$2,641,691"
dwighthoward,Dwight Howard,"$2,641,691"
udonishaslem,Udonis Haslem,"$2,641,691"
markieffmorris,Markieff Morris,"$2,641,691"
etwaunmoore,E'Twaun Moore,"$2,641,691"
grantwilliams,Grant Williams,"$2,617,800"
tyresemaxey,Tyrese Maxey,"$2,602,920"
keonjohnson,Keon Johnson,"$2,553,240"
dariusbazley,Darius Bazley,"$2,513,040"
treylyles,Trey Lyles,"$2,500,000"
zekennaji,Zeke Nnaji,"$2,498,760"
isaiahjackson,Isaiah Jackson,"$2,451,240"
tyjerome,Ty Jerome,"$2,412,840"
austinrivers,Austin Rivers,"$2,401,537"
kentbazemore,Kent Bazemore,"$2,401,537"
andredrummond,Andre Drummond,"$2,401,537"
hassanwhiteside,Hassan Whiteside,"$2,401,537"
solomonhill,Solomon Hill,"$2,389,641"
ottoporter,Otto Porter,"$2,389,641"
victoroladipo,Victor Oladipo,"$2,389,641"
benmclemore,Ben McLemore,"$2,389,641"
tonysnell,Tony Snell,"$2,389,641"
codyzeller,Cody Zeller,"$2,389,641"
usmangaruba,Usman Garuba,"$2,353,320"
leandrobolmaro,Leandro Bolmaro,"$2,353,320"
jabariparker,Jabari Parker,"$2,339,544"
willyhernangomez,Willy Hernangomez,"$2,327,220"
edmondsumner,Edmond Sumner,"$2,320,000"
nassirlittle,Nassir Little,"$2,316,240"
rjhampton,RJ Hampton,"$2,303,040"
joshchristopher,Josh Christopher,"$2,259,240"
montaellis,Monta Ellis,"$2,245,400"
rodneyhood,Rodney Hood,"$2,239,544"
elfridpayton,Elfrid Payton,"$2,239,544"
dylanwindler,Dylan Windler,"$2,239,200"
immanuelquickley,Immanuel Quickley,"$2,210,640"
johnkonchar,John Konchar,"$2,200,000"
quentingrimes,Quentin Grimes,"$2,168,640"
jordanpoole,Jordan Poole,"$2,161,440"
bolbol,Bol Bol,"$2,161,152"
keldonjohnson,Keldon Johnson,"$2,145,720"
paytonpritchard,Payton Pritchard,"$2,137,440"
jahlilokafor,Jahlil Okafor,"$2,130,023"
boneshyland,Bones Hyland,"$2,096,880"
nemanjabjelica,Nemanja Bjelica,"$2,089,448"
frankkaminsky,Frank Kaminsky,"$2,089,448"
raulneto,Raul Neto,"$2,089,448"
udokaazubuike,Udoka Azubuike,"$2,075,880"
jadenmcdaniels,Jaden McDaniels,"$2,063,280"
malachiflynn,Malachi Flynn,"$2,048,040"
camthomas,Cam Thomas,"$2,036,280"
desmondbane,Desmond Bane,"$2,033,160"
jadenspringer,Jaden Springer,"$2,023,680"
dayronsharpe,Day'Ron Sharpe,"$2,009,160"
demarcuscousins,DeMarcus Cousins,"$2,004,045"
jordanmclaughlin,Jordan McLaughlin,"$2,000,000"
jeremiahrobinsonearl,Jeremiah Robinson-Earl,"$2,000,000"
kenrichwilliams,Kenrich Williams,"$2,000,000"
theomaledon,Theo Maledon,"$2,000,000"
abdelnader,Abdel Nader,"$2,000,000"
santiagoaldama,Santiago Aldama,"$1,994,520"
damianjones,Damian Jones,"$1,977,011"
wesleymatthews,Wesley Matthews,"$1,958,495"
denzelvalentine,Denzel Valentine,"$1,939,350"
timotheluwawu,Timothe Luwawu,"$1,939,350"
rodneymcgruder,Rodney McGruder,"$1,939,350"
pjdozier,PJ Dozier,"$1,910,860"
damionlee,Damion Lee,"$1,910,860"
larrysanders,Larry Sanders,"$1,865,546"
shakemilton,Shake Milton,"$1,846,738"
wesleyiwundu,Wesley Iwundu,"$1,824,003"
jalenbrunson,Jalen Brunson,"$1,802,057"
mitchellrobinson,Mitchell Robinson,"$1,802,057"
