Player,Name,Salary
jaecrowder,Jae Crowder,"$9,720,900"
montrezlharrell,Montrezl Harrell,"$9,720,900"
tristanthompson,Tristan Thompson,"$9,720,900"
derrickfavors,Derrick Favors,"$9,720,900"
derrickjonesjr,Derrick Jones Jr.,"$9,720,900"
jamorant,Ja Morant,"$9,603,360"
reggiebullock,Reggie Bullock,"$9,536,000"
alecburks,Alec Burks,"$9,536,000"
talenhortontucker,Talen Horton-Tucker,"$9,500,000"
jarenjacksonjr,Jaren Jackson Jr.,"$9,180,560"
jameswiseman,James Wiseman,"$9,166,800"
nicolasbatum,Nicolas Batum,"$12,213,507"
dariosaric,Dario Šarić,"$9,000,000"
jalengreen,Jalen Green,"$8,992,200"
nerlensnoel,Nerlens Noel,"$8,800,000"
jakobpoeltl,Jakob Poeltl,"$8,750,000"
maxikleber,Maxi Kleber,"$8,750,000"
thomasbryant,Thomas Bryant,"$8,730,159"
royceoneale,Royce O'Neale,"$8,678,571"
rjbarrett,RJ Barrett,"$8,623,920"
alexcaruso,Alex Caruso,"$8,604,651"
delonwright,Delon Wright,"$8,526,316"
deanthonymelton,De'Anthony Melton,"$8,437,500"
danieltheis,Daniel Theis,"$8,372,093"
montemorris,Monte Morris,"$8,333,333"
traeyoung,Trae Young,"$8,326,471"
jamychalgreen,JaMychal Green,"$8,292,683"
lameloball,LaMelo Ball,"$8,231,760"
sethcurry,Seth Curry,"$8,186,047"
masonplumlee,Mason Plumlee,"$8,137,500"
evanmobley,Evan Mobley,"$8,075,160"
cediosman,Cedi Osman,"$8,050,000"
deandrejordan,DeAndre Jordan,"$10,517,224"
deandrehunter,De'Andre Hunter,"$7,775,400"
mobamba,Mo Bamba,"$7,568,742"
tyusjones,Tyus Jones,"$7,522,200"
ivicazubac,Ivica Zubac,"$7,518,518"
tjmcconnell,T.J. McConnell,"$7,500,000"
patrickwilliams,Patrick Williams,"$7,422,000"
scottiebarnes,Scottie Barnes,"$7,280,520"
dariusgarland,Darius Garland,"$7,040,880"
juanhernangomez,Juan Hernangómez,"$7,012,440"
chrisboucher,Chris Boucher,"$7,009,615"
djaugustin,D.J. Augustin,"$7,000,000"
pjtucker,P.J. Tucker,"$7,000,000"
zachcollins,Zach Collins,"$6,984,127"
wendellcarterjr,Wendell Carter Jr.,"$6,920,027"
isaacokoro,Isaac Okoro,"$6,720,720"
jalensuggs,Jalen Suggs,"$6,593,040"
cameronpayne,Cameron Payne,"$6,500,000"
joakimnoah,Joakim Noah,"$6,431,666"
jarrettculver,Jarrett Culver,"$6,395,160"
khembirch,Khem Birch,"$6,350,000"
collinsexton,Collin Sexton,"$6,349,671"
onyekaokongwu,Onyeka Okongwu,"$6,104,280"
justinholiday,Justin Holiday,"$6,006,420"
joshgiddey,Josh Giddey,"$5,988,000"
rudygay,Rudy Gay,"$5,890,000"
pattymills,Patty Mills,"$5,890,000"
dennisschroder,Dennis Schröder,"$5,890,000"
kevinknox,Kevin Knox,"$5,845,978"
cobywhite,Coby White,"$5,837,760"
