Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
275,Timothe Luwawu-Cabarrot,SF,26,ATL,21,7,11.7,1.3,3.5,0.378,0.9,2.3,0.375,0.5,1.2,.385,.500,0.4,0.4,0.889,0.2,1.1,1.4,0.6,0.3,0.1,0.2,1.3,3.9
276,Trey Lyles,PF,26,DET,26,0,16.3,2.5,6.0,0.426,0.8,2.6,0.309,1.7,3.3,.517,.494,1.7,2.1,0.796,1.3,2.8,4.1,0.7,0.3,0.2,0.9,1.4,7.5
277,Theo Maledon,PG,20,OKC,15,0,11.5,0.7,2.9,0.227,0.2,1.8,0.111,0.5,1.1,.412,.261,0.9,1.0,0.867,0.4,1.2,1.6,1.0,0.3,0.1,1.0,0.8,2.4
278,Sandro Mamukelashvili,PF,22,MIL,15,1,9.1,1.1,2.5,0.432,0.3,0.9,0.357,0.7,1.5,.478,.500,0.1,0.2,0.667,1.1,1.1,2.2,0.5,0.1,0.1,0.2,0.5,2.6
279,Terance Mann,SF,25,LAC,28,4,28.2,3.6,7.7,0.472,1.0,2.8,0.364,2.6,5.0,.532,.537,1.5,1.9,0.788,1.6,3.9,5.5,2.3,0.6,0.1,1.1,2.4,9.8
280,Tre Mann,PG,20,OKC,19,2,16.4,2.8,6.8,0.419,1.0,2.7,0.373,1.8,4.1,.449,.492,0.7,1.1,0.7,0.4,1.5,1.8,0.5,0.6,0.3,0.7,1.7,7.4
281,Boban Marjanovic,C,33,DAL,14,0,6.1,2.2,3.4,0.646,0.1,0.2,0.333,2.1,3.2,.667,.656,0.4,0.9,0.462,0.4,1.5,1.9,0.1,0.0,0.1,0.6,1.1,4.9
282,Lauri Markkanen,PF,24,CLE,21,21,30.2,5.0,11.9,0.422,2.3,6.6,0.348,2.7,5.3,.514,.518,1.7,2.0,0.833,1.0,4.1,5.2,1.3,0.8,0.4,0.8,1.6,14.0
283,Naji Marshall,SF,24,NOP,19,0,11.0,1.0,3.2,0.311,0.2,1.3,0.125,0.8,1.9,.432,.336,1.3,1.5,0.862,0.7,2.1,2.8,1.1,0.4,0.2,1.0,1.1,3.5
284,Caleb Martin,SF,26,MIA,23,2,19.6,2.9,5.9,0.489,0.9,2.3,0.377,2.0,3.6,.561,.563,1.0,1.6,0.639,0.8,2.3,3.2,1.0,0.9,0.6,0.6,1.5,7.6
285,Cody Martin,SF,26,CHO,28,5,27.6,3.4,6.9,0.5,1.2,2.4,0.5,2.3,4.5,.500,.586,1.2,1.6,0.739,1.4,3.1,4.5,2.6,1.4,0.6,0.8,1.8,9.3
286,Kelan Martin,SF,26,IND,23,1,17.6,2.9,6.7,0.431,0.8,2.8,0.292,2.0,3.8,.534,.493,0.3,0.5,0.636,0.7,1.3,2.0,0.9,0.5,0.3,0.6,1.4,6.9
287,Kenyon Martin Jr,SF,21,HOU,27,0,16.7,3.0,5.5,0.537,0.4,1.5,0.293,2.5,4.0,.630,.577,0.9,1.5,0.585,0.7,2.4,3.1,1.1,0.4,0.4,0.4,1.1,7.3
288,Garrison Mathews,SG,25,HOU,15,10,28.6,3.7,8.5,0.43,2.7,7.3,0.367,1.0,1.3,.789,.586,1.9,2.5,0.784,0.7,2.6,3.3,0.5,0.7,0.5,0.3,2.9,11.9
289,Wesley Matthews,SG,35,MIL,4,0,14.0,1.0,2.8,0.364,0.5,2.0,0.25,0.5,0.8,.667,.455,0.0,0.5,0.0,0.3,1.0,1.3,0.3,0.5,0.3,0.5,1.5,2.5
290,Tyrese Maxey,PG,21,PHI,28,28,34.6,6.4,13.4,0.48,1.2,3.2,0.371,5.3,10.2,.514,.524,3.0,3.4,0.875,0.4,3.1,3.5,4.7,0.7,0.6,1.4,2.4,17.0
291,Skylar Mays,SG,24,ATL,7,0,2.7,0.6,0.7,0.8,0.1,0.3,0.5,0.4,0.4,1.000,.900,0.7,0.7,1.0,0.0,0.3,0.3,0.1,0.0,0.0,0.3,0.3,2.0
292,Miles McBride,PG,21,NYK,9,0,3.7,0.6,2.1,0.263,0.2,1.1,0.2,0.3,1.0,.333,.316,0.2,0.2,1.0,0.1,0.6,0.7,0.3,0.2,0.1,0.0,0.3,1.6
293,CJ McCollum,SG,30,POR,24,24,35.3,8.0,18.8,0.424,3.2,8.2,0.393,4.8,10.6,.447,.509,1.5,2.1,0.7,1.1,3.0,4.1,4.5,1.1,0.7,1.9,2.1,20.6
294,TJ McConnell,PG,29,IND,24,6,24.2,3.8,7.5,0.503,0.3,1.0,0.28,3.5,6.5,.538,.522,0.5,0.6,0.8,0.8,2.5,3.3,4.8,1.0,0.4,1.2,1.8,8.4
295,Jaden McDaniels,PF,21,MIN,25,11,25.0,2.5,6.6,0.38,0.8,3.1,0.273,1.7,3.6,.472,.443,0.4,0.6,0.714,1.4,3.0,4.4,0.8,1.0,0.5,0.9,3.6,6.3
296,Jalen McDaniels,SF,24,CHO,23,0,15.8,2.1,4.0,0.527,1.0,2.2,0.44,1.1,1.8,.634,.648,0.7,1.2,0.607,0.6,3.0,3.6,1.0,0.4,0.3,0.7,1.8,5.9
297,Doug McDermott,PF,30,SAS,20,20,25.0,4.3,9.3,0.459,2.1,5.1,0.406,2.2,4.2,.524,.570,0.5,0.7,0.769,0.5,1.9,2.3,1.3,0.2,0.1,0.7,1.4,11.1
298,JaVale McGee,C,34,PHO,27,8,16.0,4.4,6.9,0.642,0.0,0.1,0.25,4.4,6.8,.650,.644,1.4,2.1,0.667,2.6,4.9,7.5,0.6,0.3,0.8,1.6,2.5,10.3
299,Rodney McGruder,SG,30,DET,10,0,6.7,0.8,2.0,0.4,0.2,1.0,0.2,0.6,1.0,.600,.450,0.2,0.2,1.0,0.5,0.8,1.3,0.6,0.0,0.1,0.3,0.4,2.0
300,Alfonzo McKinnie,F,29,CHI,1,0,29.0,2.0,6.0,0.333,2.0,3.0,0.667,0.0,3.0,.000,.500,0.0,0.0,0.766,0.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,6.0
301,JaQuori McLaughlin,PG,24,DAL,2,0,2.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,.000,.000,0.0,0.0,0.766,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
302,Jordan McLaughlin,PG,25,MIN,18,0,10.9,0.7,2.4,0.295,0.2,1.1,0.2,0.5,1.3,.375,.341,0.5,0.6,0.818,0.2,0.8,0.9,2.1,0.6,0.0,0.7,0.4,2.2
303,Ben McLemore,SG,28,POR,14,0,11.9,1.9,4.3,0.433,1.5,3.6,0.412,0.4,0.6,.556,.608,0.4,0.5,0.857,0.3,0.6,0.9,0.7,0.3,0.0,0.6,1.0,5.6
304,De'Anthony Melton,SG,23,MEM,26,13,24.3,3.8,9.2,0.408,1.7,5.0,0.346,2.0,4.2,.482,.502,0.8,1.1,0.724,0.8,3.2,4.0,2.6,1.6,0.6,1.6,1.6,10.1
305,Sam Merrill,SG,25,MEM,6,0,9.7,1.3,4.0,0.333,1.2,3.8,0.304,0.2,0.2,1.000,.479,0.3,0.7,0.5,0.2,1.0,1.2,0.7,0.0,0.0,0.3,0.5,4.2
306,Chimezie Metu,C,24,SAC,16,11,22.2,3.4,8.1,0.415,1.1,3.9,0.274,2.3,4.3,.544,.481,0.8,1.1,0.706,0.9,5.4,6.3,0.9,0.8,0.9,1.1,1.4,8.6
307,Khris Middleton,SF,30,MIL,21,21,31.0,6.1,14.8,0.412,2.2,6.2,0.351,3.9,8.6,.456,.486,3.4,3.9,0.878,0.6,5.1,5.7,4.9,1.1,0.1,3.1,2.1,17.8
308,Patty Mills,PG,33,BRK,28,14,29.6,4.7,10.4,0.449,3.2,7.1,0.447,1.5,3.3,.452,.601,0.8,0.9,0.875,0.3,1.5,1.8,2.4,0.6,0.3,0.9,1.4,13.3
309,Paul Millsap,PF,36,BRK,21,0,11.2,1.3,3.6,0.355,0.3,1.2,0.24,1.0,2.4,.412,.395,0.6,0.8,0.706,1.2,2.5,3.7,1.0,0.2,0.3,0.5,2.1,3.4
310,Shake Milton,PG,25,PHI,24,5,25.1,4.3,9.5,0.447,0.9,2.9,0.314,3.3,6.6,.506,.496,1.7,1.9,0.87,0.5,2.5,3.0,3.0,0.7,0.4,1.1,2.0,11.1
311,Davion Mitchell,PG,23,SAC,29,1,25.7,3.9,9.8,0.396,1.2,3.9,0.307,2.7,5.9,.456,.458,0.7,1.0,0.667,0.6,2.0,2.6,3.6,0.7,0.2,1.1,2.2,9.7
312,Donovan Mitchell,SG,25,UTA,26,26,32.4,9.2,20.0,0.461,3.2,9.2,0.35,6.0,10.8,.555,.541,3.2,3.6,0.882,0.8,2.8,3.7,5.0,1.7,0.2,3.0,2.4,24.8
313,Evan Mobley,PF,20,CLE,25,25,33.6,5.4,11.5,0.474,0.6,1.7,0.333,4.9,9.8,.498,.498,2.3,3.0,0.773,1.7,6.6,8.3,2.5,0.9,1.8,1.6,2.1,13.8
314,Malik Monk,SG,23,LAL,28,2,23.8,3.6,8.1,0.447,1.7,4.8,0.361,1.9,3.4,.568,.553,0.7,0.9,0.8,0.4,2.4,2.8,2.2,0.7,0.3,1.3,1.5,9.7
315,Moses Moody,SG,19,GSW,18,0,5.3,0.6,1.6,0.379,0.1,0.8,0.133,0.5,0.8,.643,.414,0.1,0.1,0.5,0.1,0.6,0.6,0.2,0.1,0.1,0.1,0.2,1.4
316,Ja Morant,PG,22,MEM,19,19,32.6,8.9,18.8,0.476,1.6,4.6,0.356,7.3,14.2,.515,.520,4.6,5.9,0.777,1.3,4.3,5.6,6.8,1.6,0.3,3.2,1.3,24.1
317,Marcus Morris,PF,32,LAC,13,13,29.7,5.2,12.1,0.433,2.0,5.4,0.371,3.2,6.7,.483,.516,1.3,1.7,0.773,0.5,4.3,4.8,1.9,0.5,0.3,1.4,2.2,13.8
